,country,Region,Surface area (km2),Population in thousands (2017),GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Individuals using the Internet (per 100 inhabitants),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Health Care Index,Cost of Living,Property price to income ratio,Traffic commute time index,Pollution index,Climate index,Gross Rental Yield City Center,Gross Rental Yield Outside Center,Property Price to Rent Ratio City Center,Property Price to Rent Ratio Outside Center,Mortgate as percentage of income,Affordability Index,Cost Of Living Index,Rent Index,Cost Of Living Plus Rent Index,Grocery Index,Restaurant Price Index,Local Purchasing Power Index,Access to electricity (% of population),Adjusted net national income per capita (constant 2010 US$),Age dependency ratio (% of working-age population),"Air transport, freight (million ton-km)","Air transport, passengers carried",Commercial service exports (current US$),Commercial service imports (current US$),Consumer price index (2010 = 100),Current account balance (% of GDP),Current health expenditure (% of GDP),Exports of goods and services (% of GDP),"Inflation, consumer prices (annual %)","Life expectancy at birth, female (years)","Life expectancy at birth, male (years)","Life expectancy at birth, total (years)","Population, female","Population, male"
37,New Zealand,Oceania,268107,4706,173417,3.1,38294.3,5.9,21.4,72.6,5.5,33833,36423,-2589,-5501,1.1,11,2.9,6.4,199,783,207,70.58,80.77,8.14,30.23,20.03,85.41,4.99,5.92,20.04,16.9,63.92,1.56,80.77,33.8,58.26,73.13,77.46,89.87,100,31778.66641,53.95420714,1335.953205,16271523,16950151676,13002353628,110.6515787,-2.707034666,9.170055389,27.48318944,1.850787675,83.4,80,81.65853659,2436831,2357069
38,Norway,NorthernEurope,386194,5305,386578,1.6,74185.5,2.2,20.2,77.6,5.1,89120,72473,16647,33746,1.2,9.7,4.4,7.4,64,8204,233,74.19,106.31,7.9,31.32,19.45,49.32,4.18,4.51,23.94,22.16,50.95,1.96,106.31,39.88,74.47,98.31,117.13,105.58,100,71668.66679,52.68356719,,,40502614063,49724162253,114.5507194,4.571425108,10.44634208,36.33299569,1.875100596,84.3,81,82.6097561,2615346,2661622
39,Pakistan,SouthernAsia,796095,197016,266458,5.5,1410.4,42.1,19.8,38.1,5.9,20534,46998,-26464,-1603,2.1,2.6,0.8,2.6,140,2202,17,59.05,27.18,12.09,38.69,80.08,42.54,4.08,3.81,24.51,26.26,156.97,0.64,27.18,5.03,16.57,24.83,21.01,39.95,70.79,1163.725097,66.09214565,214.52857,7260769,4499440000,11160061000,156.9113459,-5.312331129,2.898633666,8.257320296,4.08537368,67.928,66.041,66.947,100907719,106988967
40,Philippines,South-easternAsia,300000,104918,292449,5.9,2904.2,27.7,16.3,56.1,5.9,56313,85909,-29596,7694,1.6,4.7,...,...,783,991,19,69.16,34.71,16.91,45.14,70.25,-44.1,3.75,3.54,26.69,28.29,162.87,0.61,34.71,7.32,21.58,33.95,19.86,36,93,2994.281929,57.24532711,753.351739,39341995,34812501416,25844797493,120.2113525,-0.652387927,4.44640778,29.55229085,2.853187726,75.268,66.971,70.952,52293794,52879470
41,Poland,EasternEurope,312679,38171,477066,3.9,12355.5,10.9,29.6,59.5,5.3,196455,188518,7937,-2932,-~0.0,6.4,2.3,4.9,58,2819,102,61.46,38.15,10.12,34.55,50.33,62.53,4.66,5.25,21.44,19.04,73.08,1.37,38.15,13.93,26.54,29.69,31.53,71.75,100,13520.24909,46.65030818,221.814,7376512,58739000000,38313000000,109.6376705,0.018997653,6.541953981,54.33711798,2.075935537,81.8,73.9,77.75365854,19565914,18408912
42,Portugal,SouthernEurope,92226,10330,199122,1.6,19239.2,8,23.8,68.2,10.5,55658,67580,-11922,842,-0.4,9.5,4.4,5.1,281,250,84,70.31,49.19,8.85,30.44,28.91,92.19,5.95,6.08,16.81,16.46,60.87,1.64,49.19,16.77,33.66,39.14,41.24,62.72,100,19172.47667,54.38002339,421.8294532,15937325,34948649028,16517160295,109.1667051,1.378390799,8.969574422,42.7242664,1.368614116,84.6,78.4,81.42439024,5429333,4870967
43,Qatar,WesternAsia,11607,2639,164641,3.6,73653.4,1.2,54.1,44.7,0.3,57254,32058,25196,13751,6.6,2.2,2,3.6,39,9166,846,66.14,69.2,6.19,32.97,73.29,9.26,9.49,9.19,10.54,10.88,47.11,2.12,69.2,66.81,68.06,56.09,72.73,111.28,100,42663.33683,17.29221678,10970.08988,29949181,17527197802,29715109890,115.8588034,3.849280801,2.607428655,51.04242783,0.394878914,81.743,78.83,79.981,662995,2061729
44,Republic of Korea,EasternAsia,100284,50982,1377873,2.6,27396.7,5,24.7,70.3,3.6,495418,406182,89236,105871,0.4,7.4,2.2,5.1,111,2023,223,83.2,75.41,12.38,34.18,52.73,61.2,2.04,2.51,49.1,39.9,85.47,1.17,75.41,22.02,49.82,88.52,44.62,102.38,100,22899.67996,37.13234993,11511.80121,82818983,88720200000,1.24753E+11,113.0508001,4.632725578,7.603863627,40.93420694,1.944455907,85.7,79.7,82.62682927,25632820,25729091
45,Romania,EasternEurope,238391,19679,177956,3.7,9120.7,25.5,27.7,46.8,7.1,63581,74605,-11024,-2096,-0.6,5.6,2.7,3.1,104,1109,68,53.11,35.63,10.79,31.97,50.9,64.45,4.89,4.76,20.43,20.99,83.3,1.2,35.63,9.59,23.15,29.05,30.16,53.44,100,8947.499841,49.99522537,2.8045,4423249,24570199855,15287952958,113.9463616,-2.789943223,5.157888308,41.4700878,1.339021211,79.1,71.7,75.3097561,10053129,9534161
46,Russian Federation,EasternEurope,17098246,143990,1326016,-3.7,9243.3,6.8,27.1,66.1,5.8,285491,182257,103234,69000,0.1,7.1,3.3,3.9,235,54829,208,56.4,42.01,13.55,48.57,63.04,10.69,5.75,6.31,17.39,15.85,193.91,0.52,42.01,17.58,30.3,33.58,43.85,48.27,100,8827.816298,46.83702707,6845.22951,89373638,56748830000,87439810000,168.1752389,2.060068773,5.344577879,26.09088098,3.683329444,77.6,67.51,72.43195122,77546481,66950259
